orbit_number,date_start,date_end
83,2000-05-15 00:00:00,2000-05-15 07:09:00
84,2000-05-15 07:11:00,2000-05-15 21:23:00
85,2000-05-15 21:25:00,2000-05-16 11:36:00
86,2000-05-16 11:38:00,2000-05-16 18:55:00
89,2000-05-18 09:45:00,2000-05-18 17:17:00
90,2000-05-18 21:19:00,2000-05-19 07:03:00
91,2000-05-19 11:44:00,2000-05-19 21:10:00
92,2000-05-20 01:43:00,2000-05-20 12:13:00
93,2000-05-20 16:12:00,2000-05-21 01:16:00
94,2000-05-21 06:15:00,2000-05-21 16:34:00
95,2000-05-21 21:19:00,2000-05-22 06:12:00
96,2000-05-22 10:53:00,2000-05-22 20:32:00
97,2000-05-23 00:51:00,2000-05-23 11:26:00
98,2000-05-23 15:21:00,2000-05-24 00:32:00
99,2000-05-24 05:22:00,2000-05-24 15:51:00
100,2000-05-24 19:40:00,2000-05-25 05:02:00
101,2000-05-25 10:05:00,2000-05-25 19:32:00
102,2000-05-26 00:00:00,2000-05-26 10:31:00
103,2000-05-26 17:13:00,2000-05-27 03:49:00
104,2000-05-27 03:51:00,2000-05-27 18:02:00
105,2000-05-27 18:04:00,2000-05-28 04:01:00
106,2000-05-28 09:09:00,2000-05-28 19:03:00
107,2000-05-28 23:14:00,2000-05-29 09:32:00
108,2000-05-29 13:42:00,2000-05-29 22:52:00
109,2000-05-30 03:42:00,2000-05-30 14:18:00
110,2000-05-30 18:05:00,2000-05-31 03:22:00
111,2000-05-31 08:19:00,2000-05-31 18:11:00
112,2000-05-31 22:25:00,2000-06-01 08:43:00
113,2000-06-01 12:54:00,2000-06-01 22:02:00
114,2000-06-02 02:50:00,2000-06-02 13:32:00
115,2000-06-02 17:16:00,2000-06-03 06:28:00
116,2000-06-03 07:25:00,2000-06-03 16:35:00
120,2000-06-05 18:04:00,2000-06-06 05:38:00
121,2000-06-06 06:36:00,2000-06-06 19:52:00
122,2000-06-06 20:45:00,2000-06-07 00:00:00
125,2000-06-09 00:00:00,2000-06-09 04:48:00
126,2000-06-09 05:44:00,2000-06-09 19:02:00
127,2000-06-09 19:55:00,2000-06-10 00:00:00
132,2000-06-13 00:58:00,2000-06-13 02:56:00
133,2000-06-13 09:30:00,2000-06-13 18:04:00
134,2000-06-14 00:12:00,2000-06-14 09:02:00
135,2000-06-14 13:59:00,2000-06-14 20:04:00
136,2000-06-15 04:03:00,2000-06-15 13:40:00
137,2000-06-15 18:20:00,2000-06-16 00:01:00
143,2000-06-19 10:38:00,2000-06-19 17:22:00
144,2000-06-19 21:48:00,2000-06-20 07:58:00
145,2000-06-20 12:18:00,2000-06-20 21:07:00
146,2000-06-21 02:17:00,2000-06-21 12:42:00
147,2000-06-21 16:40:00,2000-06-22 01:31:00
148,2000-06-22 06:57:00,2000-06-22 14:25:00
149,2000-06-22 21:45:00,2000-06-23 06:58:00
150,2000-06-23 11:31:00,2000-06-23 20:22:00
151,2000-06-24 01:28:00,2000-06-24 11:51:00
152,2000-06-24 15:55:00,2000-06-25 00:38:00
153,2000-06-25 06:06:00,2000-06-25 15:54:00
154,2000-06-25 20:13:00,2000-06-26 09:38:00
155,2000-06-26 10:38:00,2000-06-26 23:44:00
156,2000-06-27 00:35:00,2000-06-27 14:03:00
157,2000-06-27 15:02:00,2000-06-28 04:14:00
158,2000-06-28 05:13:00,2000-06-28 18:31:00
159,2000-06-28 19:19:00,2000-06-29 08:44:00
160,2000-06-29 09:49:00,2000-06-29 22:57:00
161,2000-06-29 23:43:00,2000-06-30 13:14:00
162,2000-06-30 14:15:00,2000-06-30 22:58:00
163,2000-07-01 04:22:00,2000-07-01 14:24:00
164,2000-07-01 18:34:00,2000-07-02 04:03:00
165,2000-07-02 09:00:00,2000-07-02 18:11:00
166,2000-07-02 22:56:00,2000-07-03 12:23:00
167,2000-07-03 13:24:00,2000-07-04 02:32:00
168,2000-07-04 03:28:00,2000-07-04 16:49:00
169,2000-07-04 17:43:00,2000-07-05 07:04:00
170,2000-07-05 08:07:00,2000-07-05 21:17:00
171,2000-07-05 22:03:00,2000-07-06 11:34:00
172,2000-07-06 11:36:00,2000-07-07 01:45:00
173,2000-07-07 02:35:00,2000-07-07 16:00:00
174,2000-07-07 16:54:00,2000-07-08 02:08:00
175,2000-07-08 07:18:00,2000-07-08 16:46:00
176,2000-07-08 21:16:00,2000-07-09 07:35:00
177,2000-07-09 11:48:00,2000-07-09 20:37:00
178,2000-07-10 01:48:00,2000-07-10 15:09:00
179,2000-07-10 16:05:00,2000-07-11 05:22:00
180,2000-07-11 06:24:00,2000-07-11 19:35:00
181,2000-07-11 20:25:00,2000-07-12 00:04:00
182,2000-07-13 00:00:00,2000-07-13 00:02:00
183,2000-07-13 00:55:00,2000-07-13 14:19:00
184,2000-07-13 15:18:00,2000-07-14 04:32:00
185,2000-07-14 05:31:00,2000-07-14 18:47:00
186,2000-07-14 19:36:00,2000-07-15 05:45:00
187,2000-07-15 10:07:00,2000-07-15 19:07:00
188,2000-07-16 00:04:00,2000-07-16 10:34:00
189,2000-07-16 14:31:00,2000-07-16 23:25:00
190,2000-07-17 04:42:00,2000-07-17 17:51:00
191,2000-07-17 18:47:00,2000-07-18 08:08:00
192,2000-07-18 09:16:00,2000-07-18 22:19:00
193,2000-07-18 23:13:00,2000-07-19 12:36:00
194,2000-07-19 13:40:00,2000-07-20 02:50:00
195,2000-07-20 03:51:00,2000-07-20 17:03:00
196,2000-07-20 17:58:00,2000-07-21 07:20:00
197,2000-07-21 08:25:00,2000-07-21 21:31:00
198,2000-07-21 22:22:00,2000-07-22 08:55:00
199,2000-07-22 12:53:00,2000-07-22 21:44:00
200,2000-07-23 03:00:00,2000-07-23 13:09:00
201,2000-07-23 17:13:00,2000-07-24 06:29:00
202,2000-07-24 07:36:00,2000-07-24 20:38:00
203,2000-07-24 21:33:00,2000-07-25 10:57:00
204,2000-07-25 12:02:00,2000-07-26 01:06:00
205,2000-07-26 02:07:00,2000-07-26 15:27:00
206,2000-07-26 16:19:00,2000-07-27 05:40:00
207,2000-07-27 06:45:00,2000-07-27 19:53:00
208,2000-07-27 20:41:00,2000-07-28 10:09:00
209,2000-07-28 11:14:00,2000-07-28 20:10:00
210,2000-07-29 01:15:00,2000-07-29 11:38:00
211,2000-07-29 15:34:00,2000-07-30 00:58:00
212,2000-07-30 05:55:00,2000-07-30 15:29:00
213,2000-07-30 19:54:00,2000-07-31 09:18:00
214,2000-07-31 09:20:00,2000-07-31 12:19:00
215,2000-08-01 02:45:00,2000-08-01 13:46:00
